用户ID,用户名,评论内容,时间戳,时间间隔（秒）
88_3xmpqrn8xdw5x2k,你哥何宇铄,对面能不能跟我扣长句呢,2023-06-24 23:57:53,0.0
88_3xmpqrn8xdw5x2k,你哥何宇铄,对面交出网络生涯吧,2023-06-24 23:57:53,0.0
88_3xmpqrn8xdw5x2k,你哥何宇铄,对面准备好网络情吧,2023-06-24 23:57:53,0.0
88_3xmpqrn8xdw5x2k,你哥何宇铄,对面我生生世世打压你,2023-06-24 23:57:53,0.0
88_3xmpqrn8xdw5x2k,你哥何宇铄,对面拿出毕生所学吧,2023-06-24 23:57:53,0.0
88_3xmpqrn8xdw5x2k,你哥何宇铄,对面出来面对我好不好,2023-06-24 23:57:52,-1.0
88_3xmpqrn8xdw5x2k,你哥何宇铄,对面躲躲藏藏,2023-06-24 23:57:52,0.0
88_3xmpqrn8xdw5x2k,你哥何宇铄,对面你看看你,2023-06-24 23:57:52,0.0
88_3xmpqrn8xdw5x2k,你哥何宇铄,对面手下败将,2023-06-24 23:57:52,0.0
88_3xmpqrn8xdw5x2k,你哥何宇铄,对面耀武扬威,2023-06-24 23:57:52,0.0
88_3xmpqrn8xdw5x2k,你哥何宇铄,对面坚持住了,2023-06-24 23:57:52,0.0
88_3xmpqrn8xdw5x2k,你哥何宇铄,对面你的难兄难弟呢,2023-06-24 23:57:52,0.0
88_3xmpqrn8xdw5x2k,你哥何宇铄,对面没实力,2023-06-24 23:57:51,-1.0
88_3xmpqrn8xdw5x2k,你哥何宇铄,对面为什呢妄想打败我,2023-06-24 23:57:51,0.0
88_3xmpqrn8xdw5x2k,你哥何宇铄,对面怎么,2023-06-24 23:57:51,0.0
88_3xmpqrn8xdw5x2k,你哥何宇铄,对面支支吾吾,2023-06-24 23:57:51,0.0
88_3xmpqrn8xdw5x2k,你哥何宇铄,对面何必苦苦支撑,2023-06-24 23:57:51,0.0
88_3xmpqrn8xdw5x2k,你哥何宇铄,对面怎么老是用老掉牙的词汇,2023-06-24 23:57:50,-1.0
88_3xmpqrn8xdw5x2k,你哥何宇铄,对面我属实看不起你,2023-06-24 23:57:50,0.0
88_3xmpqrn8xdw5x2k,你哥何宇铄,对面别玩掉线,2023-06-24 23:57:49,-1.0
88_3xmpqrn8xdw5x2k,你哥何宇铄,对面反反复复,2023-06-24 23:57:49,0.0
88_3xmpqrn8xdw5x2k,你哥何宇铄,对面回复我,2023-06-24 23:57:49,0.0
88_3xmpqrn8xdw5x2k,你哥何宇铄,对面这个绊脚石闭麦吧,2023-06-24 23:57:49,0.0
88_3xmpqrn8xdw5x2k,你哥何宇铄,对面唯唯诺诺,2023-06-24 23:57:49,0.0
88_3xmpqrn8xdw5x2k,你哥何宇铄,对面跟上我,2023-06-24 23:57:49,0.0
88_3xmpqrn8xdw5x2k,你哥何宇铄,对面嘻嘻哈哈,2023-06-24 23:57:49,0.0
88_3xmpqrn8xdw5x2k,你哥何宇铄,对面出来反驳你祖师爷,2023-06-24 23:57:48,-1.0
88_3xmpqrn8xdw5x2k,你哥何宇铄,对面你铄耶耶来了,2023-06-24 23:57:48,0.0
88_3xmpqrn8xdw5x2k,你哥何宇铄,对面跑路了,2023-06-24 23:57:48,0.0
88_3xmpqrn8xdw5x2k,你哥何宇铄,对面要不你拜我吧,2023-06-24 23:57:48,0.0
88_3xmpqrn8xdw5x2k,你哥何宇铄,对面招笑,2023-06-24 23:57:48,0.0
88_3xmpqrn8xdw5x2k,你哥何宇铄,对面沉默是金,2023-06-24 23:57:48,0.0
88_3xmpqrn8xdw5x2k,你哥何宇铄,对面挨打王吗,2023-06-24 23:57:47,-1.0
88_3xmpqrn8xdw5x2k,你哥何宇铄,对面这个底层选手有什么时长可言,2023-06-24 23:57:47,0.0
88_3xmpqrn8xdw5x2k,你哥何宇铄,对面傻孩子,2023-06-24 23:57:47,0.0
88_3xmpqrn8xdw5x2k,你哥何宇铄,对面三言两语,2023-06-24 23:57:47,0.0
88_3xmpqrn8xdw5x2k,你哥何宇铄,对面看见我还不认输吗,2023-06-24 23:57:47,0.0
88_3xmpqrn8xdw5x2k,你哥何宇铄,对面我是不是单压你16级,2023-06-24 23:57:47,0.0
88_3xmpqrn8xdw5x2k,你哥何宇铄,对面你这个怎么了。,2023-06-24 23:57:47,0.0
88_3xmpqrn8xdw5x2k,你哥何宇铄,对面我随便了,2023-06-24 23:57:47,0.0
88_3xmpqrn8xdw5x2k,你哥何宇铄,对面孩子王,2023-06-24 23:57:46,-1.0
88_3xmpqrn8xdw5x2k,你哥何宇铄,对面你有什么时长可言,2023-06-24 23:57:46,0.0
88_3xmpqrn8xdw5x2k,你哥何宇铄,对面出头鸟瞄准我打好不好,2023-06-24 23:57:46,0.0
88_3xmpqrn8xdw5x2k,你哥何宇铄,对面服务员端茶倒水,2023-06-24 23:57:46,0.0
88_3xmpqrn8xdw5x2k,你哥何宇铄,对面没啥实力,2023-06-24 23:57:46,0.0
88_3xmpqrn8xdw5x2k,你哥何宇铄,对面老弟尽快认输得了,2023-06-24 23:57:46,0.0
88_3xmpqrn8xdw5x2k,你哥何宇铄,对面非主流气质,2023-06-24 23:57:45,-1.0
88_3xmpqrn8xdw5x2k,你哥何宇铄,对面为什么扬言,2023-06-24 23:57:45,0.0
88_3xmpqrn8xdw5x2k,你哥何宇铄,对面买好专卡吧,2023-06-24 23:57:45,0.0
88_3xmpqrn8xdw5x2k,你哥何宇铄,对面三字经选手,2023-06-24 23:57:45,0.0
88_3xmpqrn8xdw5x2k,你哥何宇铄,对面你有什么知名度啊,2023-06-24 23:57:45,0.0
88_3xmpqrn8xdw5x2k,你哥何宇铄,对面大步向前即可,2023-06-24 23:57:45,0.0
88_3xmpqrn8xdw5x2k,你哥何宇铄,对面给我点压力好不好,2023-06-24 23:57:45,0.0
88_3xmpqrn8xdw5x2k,你哥何宇铄,对面你这个可怜的东西,2023-06-24 23:57:45,0.0
88_3xmpqrn8xdw5x2k,你哥何宇铄,对面的软件刷起来,2023-06-24 23:57:44,-1.0
88_3xmpqrn8xdw5x2k,你哥何宇铄,对面这个小底层,2023-06-24 23:57:44,0.0
88_3xmpqrn8xdw5x2k,你哥何宇铄,对面徒孙辈吗,2023-06-24 23:57:44,0.0
88_3xmpqrn8xdw5x2k,你哥何宇铄,对面来来回回不就那两个人吗,2023-06-24 23:57:44,0.0
88_3xmpqrn8xdw5x2k,你哥何宇铄,对面走火入魔,2023-06-24 23:57:44,0.0
88_3xmpqrn8xdw5x2k,你哥何宇铄,对面加速,2023-06-24 23:57:44,0.0
88_3xmpqrn8xdw5x2k,你哥何宇铄,对面拿出你的速度好吗,2023-06-24 23:57:43,-1.0
88_3xmpqrn8xdw5x2k,你哥何宇铄,对面行不行了,2023-06-24 23:57:43,0.0
88_3xmpqrn8xdw5x2k,你哥何宇铄,对面你这个分不清了吗,2023-06-24 23:57:43,0.0
88_3xmpqrn8xdw5x2k,你哥何宇铄,对面是不是,2023-06-24 23:57:43,0.0
88_3xmpqrn8xdw5x2k,你哥何宇铄,对面小后起有什么时长可言,2023-06-24 23:57:43,0.0
88_3xmpqrn8xdw5x2k,你哥何宇铄,对面是不是了,2023-06-24 23:57:43,0.0
88_3xmpqrn8xdw5x2k,你哥何宇铄,对面怎么了,2023-06-24 23:57:43,0.0
88_3xmpqrn8xdw5x2k,你哥何宇铄,对面是不是畏惧我,2023-06-24 23:57:43,0.0
88_3xmpqrn8xdw5x2k,你哥何宇铄,对面能不能跟我扣长句呢,2023-06-24 23:57:42,-1.0
88_3xmpqrn8xdw5x2k,你哥何宇铄,对面交出网络生涯吧,2023-06-24 23:57:42,0.0
88_3xmpqrn8xdw5x2k,你哥何宇铄,对面这个倒插门的,2023-06-24 23:57:42,0.0
88_3xmpqrn8xdw5x2k,你哥何宇铄,对面准备好网络情吧,2023-06-24 23:57:42,0.0
88_3xmpqrn8xdw5x2k,你哥何宇铄,对面我生生世世打压你,2023-06-24 23:57:42,0.0
88_3xmpqrn8xdw5x2k,你哥何宇铄,对面拿出毕生所学吧,2023-06-24 23:57:42,0.0
88_3xmpqrn8xdw5x2k,你哥何宇铄,对面你的难兄难弟呢,2023-06-24 23:57:41,-1.0
88_3xmpqrn8xdw5x2k,你哥何宇铄,对面耀武扬威,2023-06-24 23:57:41,0.0
88_3xmpqrn8xdw5x2k,你哥何宇铄,对面出来面对我好不好,2023-06-24 23:57:41,0.0
88_3xmpqrn8xdw5x2k,你哥何宇铄,对面你看看你,2023-06-24 23:57:41,0.0
88_3xmpqrn8xdw5x2k,你哥何宇铄,对面躲躲藏藏,2023-06-24 23:57:41,0.0
88_3xmpqrn8xdw5x2k,你哥何宇铄,对面坚持住了,2023-06-24 23:57:41,0.0
88_3xmpqrn8xdw5x2k,你哥何宇铄,对面为什呢妄想打败我,2023-06-24 23:57:40,-1.0
88_3xmpqrn8xdw5x2k,你哥何宇铄,对面何必苦苦支撑,2023-06-24 23:57:40,0.0
88_3xmpqrn8xdw5x2k,你哥何宇铄,对面支支吾吾,2023-06-24 23:57:40,0.0
88_3xmpqrn8xdw5x2k,你哥何宇铄,对面怎么,2023-06-24 23:57:40,0.0
88_3xmpqrn8xdw5x2k,你哥何宇铄,对面没实力,2023-06-24 23:57:40,0.0
88_3xmpqrn8xdw5x2k,你哥何宇铄,对面怎么老是用老掉牙的词汇,2023-06-24 23:57:40,0.0
88_3xmpqrn8xdw5x2k,你哥何宇铄,对面手下败将,2023-06-24 23:57:40,0.0
88_3xmpqrn8xdw5x2k,你哥何宇铄,对面跟上我,2023-06-24 23:57:39,-1.0
88_3xmpqrn8xdw5x2k,你哥何宇铄,对面回复我,2023-06-24 23:57:39,0.0
88_3xmpqrn8xdw5x2k,你哥何宇铄,对面嘻嘻哈哈,2023-06-24 23:57:39,0.0
88_3xmpqrn8xdw5x2k,你哥何宇铄,对面这个绊脚石闭麦吧,2023-06-24 23:57:39,0.0
